FIPS,Police Precinct ID,Ge0_Name,Total Population,Total Population: Not Hispanic or Latino,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: White Alone,Total Population: Hispanic or Latino: Black or African American Alone,Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Hispanic or Latino: Asian Alone,Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Hispanic or Latino: Some Other Race Alone,Total Population: Hispanic or Latino: Two or More Races
3.6061E+11,1,"Block Group 1, Census Tract 1, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,1,"Block Group 0, Census Tract 5, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,1,"Block Group 1, Census Tract 5, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,1,"Block Group 1, Census Tract 7, New York County, New York",8881,8436,6343,226,0,1648,0,57,162,445,271,4,0,0,0,76,94
3.6061E+11,1,"Block Group 0, Census Tract 9, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,1,"Block Group 1, Census Tract 9, New York County, New York",1736,1596,1175,45,0,280,10,0,86,140,76,4,0,0,0,59,1
3.6061E+11,1,"Block Group 1, Census Tract 13, New York County, New York",2538,2232,1675,60,0,438,0,0,59,306,95,0,0,0,0,99,112
3.6061E+11,1,"Block Group 2, Census Tract 13, New York County, New York",2267,1933,1317,0,0,515,0,31,70,334,254,25,0,0,0,14,41
3.6061E+11,1,"Block Group 0, Census Tract 15.01, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,1,"Block Group 1, Census Tract 15.01, New York County, New York",2808,2605,1847,123,0,508,0,74,53,203,128,9,0,0,0,50,16
3.6061E+11,1,"Block Group 2, Census Tract 15.01, New York County, New York",3027,2725,1599,221,0,816,0,0,89,302,216,13,0,44,0,29,0
3.6061E+11,1,"Block Group 3, Census Tract 15.01, New York County, New York",1057,976,472,0,25,462,0,0,17,81,81,0,0,0,0,0,0
3.6061E+11,1,"Block Group 0, Census Tract 15.02, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,1,"Block Group 1, Census Tract 15.02, New York County, New York",3333,3178,2416,75,26,546,0,0,115,155,139,0,0,0,0,0,16
3.6061E+11,1,"Block Group 2, Census Tract 15.02, New York County, New York",4599,4395,2984,111,14,1199,0,0,87,204,169,15,0,0,0,20,0
3.6061E+11,1,"Block Group 1, Census Tract 21, New York County, New York",3382,3246,2739,40,0,251,0,0,216,136,133,3,0,0,0,0,0
3.6061E+11,1,"Block Group 2, Census Tract 21, New York County, New York",3481,3324,2437,34,0,710,0,0,143,157,134,0,0,0,0,23,0
3.6061E+11,1,"Block Group 1, Census Tract 33, New York County, New York",3202,3026,2340,77,0,447,0,0,162,176,176,0,0,0,0,0,0
3.6061E+11,1,"Block Group 2, Census Tract 33, New York County, New York",590,577,545,13,0,19,0,0,0,13,13,0,0,0,0,0,0
3.6061E+11,1,"Block Group 3, Census Tract 33, New York County, New York",1623,1570,1253,63,0,122,0,0,132,53,53,0,0,0,0,0,0
3.6061E+11,1,"Block Group 0, Census Tract 37, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,1,"Block Group 1, Census Tract 37, New York County, New York",903,839,665,38,0,83,0,29,24,64,0,0,0,0,0,64,0
3.6061E+11,1,"Block Group 2, Census Tract 37, New York County, New York",922,842,749,35,0,24,0,0,34,80,70,0,0,0,0,10,0
3.6061E+11,1,"Block Group 3, Census Tract 37, New York County, New York",849,772,658,0,0,101,0,0,13,77,68,0,0,0,0,0,9
3.6061E+11,1,"Block Group 0, Census Tract 39, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,1,"Block Group 1, Census Tract 39, New York County, New York",1861,1741,1530,0,0,119,0,0,92,120,71,0,0,0,0,0,49
3.6061E+11,1,"Block Group 2, Census Tract 39, New York County, New York",1136,1057,833,176,0,32,0,16,0,79,33,0,0,46,0,0,0
3.6061E+11,1,"Block Group 3, Census Tract 39, New York County, New York",1199,1049,901,0,0,20,0,0,128,150,81,0,0,0,0,69,0
3.6061E+11,1,"Block Group 4, Census Tract 39, New York County, New York",1425,1305,937,124,0,144,0,0,100,120,15,0,0,0,0,89,16
3.6061E+11,1,"Block Group 1, Census Tract 47, New York County, New York",688,676,601,0,0,67,0,0,8,12,12,0,0,0,0,0,0
3.6061E+11,1,"Block Group 2, Census Tract 47, New York County, New York",1630,1518,1228,9,0,226,0,0,55,112,62,0,0,0,0,50,0
3.6061E+11,1,"Block Group 1, Census Tract 49, New York County, New York",1721,1650,1452,30,0,168,0,0,0,71,47,0,0,0,0,24,0
3.6061E+11,1,"Block Group 2, Census Tract 49, New York County, New York",1342,1254,1007,49,0,172,0,0,26,88,71,0,0,0,0,0,17
3.6061E+11,1,"Block Group 3, Census Tract 49, New York County, New York",1343,1236,1068,44,0,74,0,0,50,107,60,0,15,0,0,18,14
3.6061E+11,1,"Block Group 0, Census Tract 317.03, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,1,"Block Group 1, Census Tract 317.03, New York County, New York",668,541,454,0,0,54,0,0,33,127,127,0,0,0,0,0,0
3.6061E+11,1,"Block Group 2, Census Tract 317.03, New York County, New York",4976,4788,3589,58,0,896,0,13,232,188,175,13,0,0,0,0,0
3.6061E+11,1,"Block Group 0, Census Tract 317.04, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,1,"Block Group 1, Census Tract 317.04, New York County, New York",3111,3002,2518,79,0,312,0,59,34,109,66,21,0,0,0,22,0
3.6061E+11,1,"Block Group 2, Census Tract 317.04, New York County, New York",2160,1996,1339,51,0,480,0,0,126,164,164,0,0,0,0,0,0
3.6061E+11,1,"Block Group 3, Census Tract 317.04, New York County, New York",2078,1838,1082,21,0,682,0,0,53,240,160,0,0,0,0,80,0
3.6061E+11,1,"Block Group 4, Census Tract 317.04, New York County, New York",2892,2549,1905,0,0,581,0,0,63,343,299,0,0,0,0,0,44
3.6061E+11,1,"Block Group 0, Census Tract 319, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,1,"Block Group 1, Census Tract 319, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,5,"Block Group 0, Census Tract 8, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,5,"Block Group 1, Census Tract 8, New York County, New York",1264,1243,16,0,0,1159,0,0,68,21,0,0,0,0,0,0,21
3.6061E+11,5,"Block Group 2, Census Tract 8, New York County, New York",1229,1200,60,5,0,1038,0,70,27,29,29,0,0,0,0,0,0
3.6061E+11,5,"Block Group 3, Census Tract 8, New York County, New York",1856,1789,51,0,76,1662,0,0,0,67,67,0,0,0,0,0,0
3.6061E+11,5,"Block Group 4, Census Tract 8, New York County, New York",1951,1799,414,0,0,1329,5,0,51,152,123,0,0,0,0,10,19
3.6061E+11,5,"Block Group 5, Census Tract 8, New York County, New York",1762,1729,119,73,11,1526,0,0,0,33,33,0,0,0,0,0,0
3.6061E+11,5,"Block Group 6, Census Tract 8, New York County, New York",1301,1203,95,0,0,1108,0,0,0,98,42,0,0,0,0,35,21
3.6061E+11,5,"Block Group 1, Census Tract 16, New York County, New York",2565,2505,77,0,0,2399,0,0,29,60,0,0,0,0,0,22,38
3.6061E+11,5,"Block Group 2, Census Tract 16, New York County, New York",803,604,13,28,0,563,0,0,0,199,135,64,0,0,0,0,0
3.6061E+11,5,"Block Group 3, Census Tract 16, New York County, New York",1550,1495,166,0,0,1309,0,0,20,55,0,0,0,0,0,55,0
3.6061E+11,5,"Block Group 4, Census Tract 18, New York County, New York",645,521,208,81,0,215,0,17,0,124,52,20,0,0,0,52,0
3.6061E+11,5,"Block Group 5, Census Tract 18, New York County, New York",767,715,307,70,0,338,0,0,0,52,43,5,0,0,0,4,0
3.6061E+11,5,"Block Group 6, Census Tract 18, New York County, New York",1729,1729,84,22,0,1623,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,5,"Block Group 7, Census Tract 18, New York County, New York",1224,1188,424,0,0,584,0,0,180,36,0,0,0,0,0,36,0
3.6061E+11,5,"Block Group 0, Census Tract 25, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,5,"Block Group 1, Census Tract 25, New York County, New York",2911,2209,7,628,0,1552,0,0,22,702,105,53,0,112,0,426,6
3.6061E+11,5,"Block Group 2, Census Tract 25, New York County, New York",763,573,0,159,0,406,0,0,8,190,41,111,0,0,0,31,7
3.6061E+11,5,"Block Group 3, Census Tract 25, New York County, New York",1497,791,15,403,0,348,0,0,25,706,337,251,0,0,0,85,33
3.6061E+11,5,"Block Group 1, Census Tract 27, New York County, New York",1417,1389,260,4,0,1046,0,0,79,28,5,0,0,6,0,17,0
3.6061E+11,5,"Block Group 1, Census Tract 29, New York County, New York",1446,1167,156,340,0,560,0,0,111,279,113,60,0,0,0,106,0
3.6061E+11,5,"Block Group 2, Census Tract 29, New York County, New York",1719,1674,11,37,0,1600,0,0,26,45,12,0,0,0,0,33,0
3.6061E+11,5,"Block Group 3, Census Tract 29, New York County, New York",2070,2056,108,0,0,1924,0,0,24,14,14,0,0,0,0,0,0
3.6061E+11,5,"Block Group 4, Census Tract 29, New York County, New York",1634,1301,259,253,11,709,0,0,69,333,90,69,0,0,0,106,68
3.6061E+11,5,"Block Group 1, Census Tract 31, New York County, New York",2720,2525,1470,255,8,665,0,10,117,195,184,11,0,0,0,0,0
3.6061E+11,5,"Block Group 1, Census Tract 36.01, New York County, New York",1056,636,141,139,0,356,0,0,0,420,256,33,0,0,0,131,0
3.6061E+11,5,"Block Group 2, Census Tract 36.01, New York County, New York",1261,400,289,9,0,70,0,7,25,861,656,106,0,0,0,90,9
3.6061E+11,5,"Block Group 3, Census Tract 36.01, New York County, New York",1205,854,400,88,0,360,0,0,6,351,156,0,0,0,0,101,94
3.6061E+11,5,"Block Group 1, Census Tract 41, New York County, New York",1162,1162,631,35,0,496,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,5,"Block Group 2, Census Tract 41, New York County, New York",838,803,118,0,20,635,0,0,30,35,35,0,0,0,0,0,0
3.6061E+11,5,"Block Group 3, Census Tract 41, New York County, New York",2000,1954,417,0,13,1459,0,24,41,46,0,0,0,0,0,46,0
3.6061E+11,5,"Block Group 4, Census Tract 41, New York County, New York",1958,1852,771,0,0,973,0,0,108,106,0,106,0,0,0,0,0
3.6061E+11,5,"Block Group 5, Census Tract 41, New York County, New York",1179,1072,426,1,0,594,0,26,25,107,40,0,0,21,0,1,45
3.6061E+11,5,"Block Group 6, Census Tract 41, New York County, New York",1406,1242,461,46,8,715,0,0,12,164,53,0,0,0,0,111,0
3.6061E+11,5,"Block Group 1, Census Tract 43, New York County, New York",1772,1652,1201,0,0,345,0,15,91,120,120,0,0,0,0,0,0
3.6061E+11,5,"Block Group 2, Census Tract 43, New York County, New York",903,749,441,5,0,276,0,0,27,154,136,0,0,0,0,16,2
3.6061E+11,5,"Block Group 3, Census Tract 43, New York County, New York",1550,1463,933,0,0,452,0,0,78,87,57,30,0,0,0,0,0
3.6061E+11,5,"Block Group 1, Census Tract 45, New York County, New York",1005,976,672,1,0,261,0,0,42,29,28,0,1,0,0,0,0
3.6061E+11,6,"Block Group 1, Census Tract 55.01, New York County, New York",1586,1518,1133,21,14,289,0,18,43,68,68,0,0,0,0,0,0
3.6061E+11,6,"Block Group 2, Census Tract 55.01, New York County, New York",2343,2333,1552,181,0,507,0,20,73,10,10,0,0,0,0,0,0
3.6061E+11,6,"Block Group 3, Census Tract 55.01, New York County, New York",780,754,563,65,0,26,0,0,100,26,26,0,0,0,0,0,0
3.6061E+11,6,"Block Group 1, Census Tract 59, New York County, New York",1144,1096,1046,0,0,50,0,0,0,48,0,0,34,0,0,14,0
3.6061E+11,6,"Block Group 2, Census Tract 59, New York County, New York",430,430,347,20,0,63,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,6,"Block Group 3, Census Tract 59, New York County, New York",2110,1878,1475,40,5,341,0,0,17,232,218,0,0,14,0,0,0
3.6061E+11,6,"Block Group 4, Census Tract 59, New York County, New York",940,940,843,0,0,41,0,0,56,0,0,0,0,0,0,0,0
3.6061E+11,6,"Block Group 5, Census Tract 59, New York County, New York",1010,994,919,75,0,0,0,0,0,16,16,0,0,0,0,0,0
3.6061E+11,6,"Block Group 1, Census Tract 61, New York County, New York",2049,1858,1589,71,0,182,0,0,16,191,191,0,0,0,0,0,0
3.6061E+11,6,"Block Group 2, Census Tract 61, New York County, New York",1392,1299,967,40,0,265,0,0,27,93,93,0,0,0,0,0,0
3.6061E+11,6,"Block Group 1, Census Tract 63, New York County, New York",2217,2071,1880,31,0,160,0,0,0,146,127,0,0,0,0,19,0
3.6061E+11,6,"Block Group 2, Census Tract 63, New York County, New York",1173,1173,962,37,0,143,0,0,31,0,0,0,0,0,0,0,0
3.6061E+11,6,"Block Group 3, Census Tract 63, New York County, New York",987,897,750,20,0,99,0,17,11,90,39,0,0,0,0,0,51
3.6061E+11,6,"Block Group 4, Census Tract 63, New York County, New York",1078,1017,927,0,0,90,0,0,0,61,35,0,0,0,0,0,26
3.6061E+11,6,"Block Group 5, Census Tract 63, New York County, New York",1273,1257,1087,0,0,47,0,50,73,16,16,0,0,0,0,0,0
3.6061E+11,6,"Block Group 1, Census Tract 65, New York County, New York",1650,1539,1362,64,0,99,0,0,14,111,69,2,0,0,0,40,0
3.6061E+11,6,"Block Group 2, Census Tract 65, New York County, New York",1099,974,786,75,0,102,0,0,11,125,119,6,0,0,0,0,0
3.6061E+11,6,"Block Group 3, Census Tract 65, New York County, New York",1103,1074,855,26,0,193,0,0,0,29,0,0,0,0,0,29,0
3.6061E+11,6,"Block Group 4, Census Tract 65, New York County, New York",1635,1512,1077,0,0,114,0,0,321,123,34,0,0,0,0,0,89
3.6061E+11,6,"Block Group 5, Census Tract 65, New York County, New York",1003,918,784,36,0,82,0,0,16,85,70,0,0,0,0,15,0
3.6061E+11,6,"Block Group 1, Census Tract 67, New York County, New York",1302,1226,1116,0,0,110,0,0,0,76,53,0,0,0,0,23,0
3.6061E+11,6,"Block Group 2, Census Tract 67, New York County, New York",1636,1546,1234,52,0,97,0,60,103,90,22,0,16,0,0,0,52
3.6061E+11,6,"Block Group 3, Census Tract 67, New York County, New York",1004,1004,945,2,0,57,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,6,"Block Group 4, Census Tract 67, New York County, New York",1335,1309,1222,21,0,28,0,0,38,26,17,0,0,0,0,0,9
3.6061E+11,6,"Block Group 0, Census Tract 69, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,6,"Block Group 1, Census Tract 69, New York County, New York",2568,2407,1911,53,0,293,0,22,128,161,126,0,0,0,0,35,0
3.6061E+11,6,"Block Group 1, Census Tract 71, New York County, New York",1111,1034,615,43,0,376,0,0,0,77,58,0,0,0,0,0,19
3.6061E+11,6,"Block Group 2, Census Tract 71, New York County, New York",1552,1517,1274,32,0,207,4,0,0,35,35,0,0,0,0,0,0
3.6061E+11,6,"Block Group 3, Census Tract 71, New York County, New York",700,679,549,50,0,19,0,13,48,21,21,0,0,0,0,0,0
3.6061E+11,6,"Block Group 4, Census Tract 71, New York County, New York",1530,1487,1319,0,0,91,0,0,77,43,43,0,0,0,0,0,0
3.6061E+11,6,"Block Group 5, Census Tract 71, New York County, New York",1107,1045,970,37,0,38,0,0,0,62,62,0,0,0,0,0,0
3.6061E+11,6,"Block Group 1, Census Tract 73, New York County, New York",804,784,747,37,0,0,0,0,0,20,0,0,0,0,0,20,0
3.6061E+11,6,"Block Group 2, Census Tract 73, New York County, New York",828,797,745,24,0,0,0,0,28,31,31,0,0,0,0,0,0
3.6061E+11,6,"Block Group 3, Census Tract 73, New York County, New York",1552,1443,1375,36,0,32,0,0,0,109,109,0,0,0,0,0,0
3.6061E+11,6,"Block Group 4, Census Tract 73, New York County, New York",1326,1002,800,0,0,165,0,37,0,324,205,1,0,27,0,91,0
3.6061E+11,6,"Block Group 5, Census Tract 73, New York County, New York",733,733,709,0,0,24,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,6,"Block Group 6, Census Tract 73, New York County, New York",776,731,731,0,0,0,0,0,0,45,21,0,0,0,0,0,24
3.6061E+11,6,"Block Group 0, Census Tract 75, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,6,"Block Group 1, Census Tract 75, New York County, New York",1655,1553,1301,50,0,142,0,0,60,102,84,1,0,0,0,16,1
3.6061E+11,6,"Block Group 2, Census Tract 75, New York County, New York",1349,1263,1185,0,0,58,0,20,0,86,86,0,0,0,0,0,0
3.6061E+11,6,"Block Group 3, Census Tract 75, New York County, New York",986,914,827,0,0,69,0,18,0,72,72,0,0,0,0,0,0
3.6061E+11,6,"Block Group 1, Census Tract 77, New York County, New York",1010,878,772,0,0,86,0,0,20,132,132,0,0,0,0,0,0
3.6061E+11,6,"Block Group 2, Census Tract 77, New York County, New York",772,772,736,0,0,36,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,6,"Block Group 3, Census Tract 77, New York County, New York",1706,1616,1379,45,0,90,0,0,102,90,90,0,0,0,0,0,0
3.6061E+11,6,"Block Group 4, Census Tract 77, New York County, New York",1553,1540,1435,0,0,62,0,0,43,13,0,0,0,0,0,13,0
3.6061E+11,6,"Block Group 5, Census Tract 77, New York County, New York",950,757,653,0,0,104,0,0,0,193,142,0,0,0,0,0,51
3.6061E+11,6,"Block Group 0, Census Tract 79, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,6,"Block Group 1, Census Tract 79, New York County, New York",643,618,586,0,0,18,0,14,0,25,25,0,0,0,0,0,0
3.6061E+11,6,"Block Group 2, Census Tract 79, New York County, New York",1765,1681,1544,0,0,120,0,0,17,84,84,0,0,0,0,0,0
3.6061E+11,6,"Block Group 3, Census Tract 79, New York County, New York",1160,1138,1102,18,0,18,0,0,0,22,0,22,0,0,0,0,0
3.6061E+11,6,"Block Group 4, Census Tract 79, New York County, New York",982,867,852,0,15,0,0,0,0,115,115,0,0,0,0,0,0
3.6047E+11,71,"Block Group 1, Census Tract 213, Kings County, New York",1012,958,162,729,0,34,0,10,23,54,0,45,0,0,0,9,0
3.6047E+11,71,"Block Group 2, Census Tract 213, Kings County, New York",1990,1800,333,1428,0,21,0,5,13,190,23,130,0,0,0,23,14
3.6047E+11,71,"Block Group 3, Census Tract 213, Kings County, New York",1226,1202,304,835,0,0,0,0,63,24,0,24,0,0,0,0,0
3.6047E+11,71,"Block Group 1, Census Tract 319, Kings County, New York",1312,1251,325,896,0,0,0,0,30,61,43,8,0,0,0,0,10
3.6047E+11,71,"Block Group 2, Census Tract 319, Kings County, New York",1022,934,564,370,0,0,0,0,0,88,60,21,0,0,0,0,7
3.6047E+11,71,"Block Group 3, Census Tract 319, Kings County, New York",1078,978,254,668,0,34,0,0,22,100,0,70,0,0,0,30,0
3.6047E+11,71,"Block Group 1, Census Tract 321, Kings County, New York",1921,1770,412,1193,0,59,0,106,0,151,28,107,0,0,0,16,0
3.6047E+11,71,"Block Group 2, Census Tract 321, Kings County, New York",751,704,104,600,0,0,0,0,0,47,33,13,0,0,0,1,0
3.6047E+11,71,"Block Group 3, Census Tract 321, Kings County, New York",1671,1330,243,951,0,102,0,0,34,341,180,139,0,0,0,22,0
3.6047E+11,71,"Block Group 4, Census Tract 321, Kings County, New York",1523,1351,335,828,0,26,0,146,16,172,73,99,0,0,0,0,0
3.6047E+11,71,"Block Group 1, Census Tract 323, Kings County, New York",1424,1218,234,806,0,34,0,0,144,206,62,66,0,0,0,78,0
3.6047E+11,71,"Block Group 2, Census Tract 323, Kings County, New York",1048,973,177,775,0,21,0,0,0,75,3,53,0,0,0,19,0
3.6047E+11,71,"Block Group 3, Census Tract 323, Kings County, New York",1193,1154,199,906,0,12,0,0,37,39,0,23,0,0,0,16,0
3.6047E+11,71,"Block Group 1, Census Tract 325, Kings County, New York",1122,996,214,625,0,111,0,0,46,126,0,21,0,0,0,105,0
3.6047E+11,71,"Block Group 2, Census Tract 325, Kings County, New York",1064,1027,214,773,0,40,0,0,0,37,20,0,0,0,0,17,0
3.6047E+11,71,"Block Group 3, Census Tract 325, Kings County, New York",4695,4328,19,4249,0,14,0,0,46,367,0,324,0,20,0,23,0
3.6047E+11,71,"Block Group 1, Census Tract 327, Kings County, New York",735,580,68,502,0,0,0,0,10,155,18,82,0,0,0,55,0
3.6047E+11,71,"Block Group 2, Census Tract 327, Kings County, New York",1034,947,84,833,0,0,0,30,0,87,0,0,0,0,0,87,0
3.6047E+11,71,"Block Group 3, Census Tract 327, Kings County, New York",716,499,191,270,0,28,0,0,10,217,117,68,0,0,0,32,0
3.6047E+11,71,"Block Group 1, Census Tract 329, Kings County, New York",1737,1683,962,605,0,51,65,0,0,54,13,0,0,0,0,41,0
3.6047E+11,71,"Block Group 2, Census Tract 329, Kings County, New York",1600,1568,634,925,0,0,0,0,9,32,0,32,0,0,0,0,0
3.6047E+11,71,"Block Group 3, Census Tract 329, Kings County, New York",1205,1181,329,781,0,31,0,40,0,24,24,0,0,0,0,0,0
3.6047E+11,71,"Block Group 4, Census Tract 329, Kings County, New York",1665,1304,620,653,0,0,0,0,31,361,207,27,0,0,0,127,0
3.6047E+11,71,"Block Group 1, Census Tract 331, Kings County, New York",957,856,483,373,0,0,0,0,0,101,46,0,0,0,0,55,0
3.6047E+11,71,"Block Group 2, Census Tract 331, Kings County, New York",2190,2124,1270,854,0,0,0,0,0,66,22,44,0,0,0,0,0
3.6047E+11,71,"Block Group 3, Census Tract 331, Kings County, New York",899,888,604,284,0,0,0,0,0,11,0,11,0,0,0,0,0
3.6047E+11,71,"Block Group 1, Census Tract 333, Kings County, New York",1090,1090,592,483,7,0,0,0,8,0,0,0,0,0,0,0,0
3.6047E+11,71,"Block Group 2, Census Tract 333, Kings County, New York",2249,2231,1891,340,0,0,0,0,0,18,0,18,0,0,0,0,0
3.6047E+11,71,"Block Group 3, Census Tract 333, Kings County, New York",1192,1067,740,312,0,0,0,7,8,125,82,35,0,0,0,8,0
3.6047E+11,71,"Block Group 1, Census Tract 335, Kings County, New York",1166,1105,770,303,0,26,0,0,6,61,0,0,0,0,0,0,61
3.6047E+11,71,"Block Group 2, Census Tract 335, Kings County, New York",852,830,550,269,0,5,0,6,0,22,0,7,0,0,0,15,0
3.6047E+11,71,"Block Group 3, Census Tract 335, Kings County, New York",1016,962,673,282,0,4,0,0,3,54,0,23,0,0,0,31,0
3.6047E+11,71,"Block Group 1, Census Tract 337, Kings County, New York",1356,1027,155,868,0,0,0,0,4,329,14,81,0,0,0,9,225
3.6047E+11,71,"Block Group 2, Census Tract 337, Kings County, New York",1039,993,439,467,0,69,0,0,18,46,0,15,0,0,0,31,0
3.6047E+11,71,"Block Group 2, Census Tract 349, Kings County, New York",1488,1393,141,1239,0,13,0,0,0,95,54,0,0,0,0,32,9
3.6047E+11,71,"Block Group 3, Census Tract 349, Kings County, New York",1927,1565,193,1325,0,38,0,0,9,362,0,173,0,0,0,180,9
3.6047E+11,71,"Block Group 4, Census Tract 349, Kings County, New York",1283,1283,18,1192,0,17,0,0,56,0,0,0,0,0,0,0,0
3.6047E+11,71,"Block Group 2, Census Tract 351, Kings County, New York",1716,1265,217,907,0,37,0,0,104,451,0,37,0,0,0,372,42
3.6047E+11,71,"Block Group 3, Census Tract 351, Kings County, New York",1755,1342,511,636,0,9,0,84,102,413,0,208,13,0,0,192,0
3.6047E+11,71,"Block Group 2, Census Tract 353, Kings County, New York",1350,1093,263,769,0,25,0,0,36,257,21,51,0,0,0,185,0
3.6047E+11,71,"Block Group 3, Census Tract 353, Kings County, New York",2215,2121,599,1329,0,118,0,0,75,94,5,57,0,0,0,32,0
3.6047E+11,71,"Block Group 1, Census Tract 355, Kings County, New York",1491,1273,30,1226,0,0,0,0,17,218,8,91,0,0,0,87,32
3.6047E+11,71,"Block Group 2, Census Tract 355, Kings County, New York",1953,1791,0,1791,0,0,0,0,0,162,0,61,0,0,0,101,0
3.6047E+11,71,"Block Group 3, Census Tract 355, Kings County, New York",1953,1798,892,882,0,0,0,0,24,155,50,54,0,0,0,8,43
3.60471E+11,71,"Block Group 1, Census Tract 796.01, Kings County, New York",2808,2572,554,1937,0,38,0,9,34,236,15,106,0,0,0,115,0
3.60471E+11,71,"Block Group 2, Census Tract 796.01, Kings County, New York",1769,1563,406,1080,0,43,0,0,34,206,42,115,0,0,0,38,11
3.60471E+11,71,"Block Group 1, Census Tract 798.01, Kings County, New York",1758,1595,523,905,0,98,0,15,54,163,19,78,0,19,0,25,22
3.60471E+11,71,"Block Group 2, Census Tract 798.01, Kings County, New York",1265,1109,303,775,0,17,0,14,0,156,100,25,0,0,0,19,12
3.60471E+11,71,"Block Group 1, Census Tract 798.02, Kings County, New York",2594,2206,802,1261,0,87,0,48,8,388,51,22,0,0,0,315,0
3.60471E+11,71,"Block Group 2, Census Tract 798.02, Kings County, New York",1703,1599,355,1061,0,141,0,0,42,104,30,0,0,0,0,58,16
3.60471E+11,71,"Block Group 3, Census Tract 798.02, Kings County, New York",1688,1253,109,1057,0,72,0,0,15,435,70,169,0,0,0,151,45
3.60471E+11,71,"Block Group 1, Census Tract 800, Kings County, New York",1168,1150,354,668,0,51,0,0,77,18,18,0,0,0,0,0,0
3.60471E+11,71,"Block Group 2, Census Tract 800, Kings County, New York",1293,1218,322,817,0,15,0,0,64,75,39,0,0,0,0,36,0
3.60471E+11,71,"Block Group 3, Census Tract 800, Kings County, New York",1416,1241,163,1052,0,7,0,0,19,175,12,143,0,0,0,8,12
3.60471E+11,71,"Block Group 1, Census Tract 802, Kings County, New York",1980,1848,221,1577,31,9,0,0,10,132,43,65,0,0,0,0,24
3.60471E+11,71,"Block Group 2, Census Tract 802, Kings County, New York",1398,1261,108,1101,0,0,0,0,52,137,0,25,0,0,0,112,0
3.60471E+11,71,"Block Group 3, Census Tract 802, Kings County, New York",1519,1464,214,1026,0,108,0,0,116,55,10,30,0,0,0,6,9
3.60471E+11,71,"Block Group 1, Census Tract 804, Kings County, New York",1225,1171,160,904,15,17,0,75,0,54,46,0,0,0,0,8,0
3.60471E+11,71,"Block Group 2, Census Tract 804, Kings County, New York",1288,1232,84,1140,0,8,0,0,0,56,24,15,0,0,0,8,9
3.60471E+11,71,"Block Group 3, Census Tract 804, Kings County, New York",704,671,42,486,0,123,0,0,20,33,20,0,0,0,0,0,13
3.60471E+11,71,"Block Group 1, Census Tract 806, Kings County, New York",2321,2178,990,1043,0,145,0,0,0,143,69,0,0,0,0,74,0
3.60471E+11,71,"Block Group 2, Census Tract 806, Kings County, New York",1409,1367,407,960,0,0,0,0,0,42,0,0,0,0,0,42,0
3.60471E+11,71,"Block Group 1, Census Tract 808, Kings County, New York",1338,1130,97,866,0,141,0,5,21,208,51,10,0,0,0,147,0
