"V1","V2"
0.268977754901405,0.0890121918072559
0.399351391247836,0.216667359040589
0.36358630480974,0.0598311342068336
0.421982131498942,0.070157103712263
0.49387057783129,0.220121232828045
0.558025200766225,0.0955254856164042
0.43835783163202,0.159055158753808
0.455236132575919,0.118246447884689
0.325836669313839,0.0631035551979289
0.322054513709846,0.0594731790126292
0.451556395305991,0.135208581491205
0.323861760858194,0.0810095138511111
0.478860527824498,0.076273296387956
0.661484939068098,0.104370624474936
0.462605944528048,0.0621961725646426
0.566488335601232,0.10717483816037
0.528524870282956,0.110705904750057
0.480229142166123,0.104846248089963
0.376839590828584,0.0973327955967483
0.548377864217217,0.0956472054001462
0.322176775799446,0.10393160416129
0.391283297372058,0.0855014164458401
0.51858421407673,0.0847374542788615
0.425560040671134,0.0814027321954855
0.507109134985431,0.130032846094779
0.424334953889697,0.127452314434246
0.605924598559675,0.0801016987242601
0.446450987053804,0.211205367387991
0.43856185985754,0.0599649227994546
0.56221875592451,0.588590026264357
0.383347447552907,0.0942478793008603
0.450963063811115,0.128186471707711
0.296052188219517,0.228768211456024
0.477089619716823,0.128732899562397
0.597392172707535,0.111070632419156
0.480928018399428,0.0877938307080586
0.40425855448178,0.0908822807401855
0.515577087214168,0.0643782205688942
0.419199817544796,0.235123192967878
0.385101938451034,0.0871239544014644
0.374085512255514,0.0556026219427952
0.627891494783499,0.101995224036828
0.755164940453078,0.0766830149577205
0.793475277400436,0.0896582005525618
0.423908408706218,0.0638215437850695
0.605931533683628,0.0623855567564717
0.341192863049267,0.0947609571446262
0.408585492056306,1.34920937740738
0.53080148566553,0.283877156629509
0.437835788939638,0.142088985815396
0.468597489123634,0.0620199190281097
0.459283203502711,0.224611078293054
0.597609655859352,0.224286294201851
0.530817327586024,0.0706679417541577
0.714975307737712,0.101203687779299
0.557966653951131,0.686029930338688
0.297049586034558,0.298761165625675
0.356204336655741,0.05279448411968
0.780914397579036,0.137537289035259
0.466137284504409,0.0618143807329688
0.387994171908419,0.0393639398683589
0.548315745415681,0.0578844677842109
0.564776957274275,0.104305526524835
0.456148179489751,0.179977464546594
0.384818931414917,0.072807232228606
0.442796133790072,0.166878509498979
0.474282048922366,0.0603626538001803
0.480603094683259,0.0578338724184354
0.408425343158971,0.0567654569218198
0.617564778879435,0.124415959499373
0.453117125420835,0.246964817272809
0.503282335725807,0.20278449410752
0.398709477491753,0.108679336245739
0.29740946818609,0.180695733168132
0.403635654263736,0.116579469940404
0.57134121512513,0.06297407536956
0.364982129516968,0.0731459049882962
0.411894415921377,0.226480434079816
0.330473559350856,0.0929512391598069
0.419719252334117,0.271179360057257
0.61504814682251,0.148160422094289
0.365872855554173,0.0563470282789485
0.339430000723167,0.0656256737937109
0.423221393603588,0.039593189413179
0.424393217037849,0.0518837079390944
0.677508049250351,0.125473603312596
0.770748022441529,0.1756495162492
