Precinct,Population_Total,Population_White,Population_Black,Population_Hispanic,White_Drug_Prev_Arrests,Black_Drug_Prev_Arrests,Hispanic_Drug_Prev_Arrests,White_Drug_Stops,Black_Drug_Stops,Hispanic_Drug_Stops,White_Weapon_Prev_Arrests,Black_Weapon_Prev_Arrests,Hispanic_Weapon_Prev_Arrests,White_Weapon_Stops,Black_Weapon_Stops,Hispanic_Weapon_Stops,White_Violent_Prev_Arrests,Black_Violent_Prev_Arrests,Hispanic_Violent_Prev_Arrests,White_Violent_Stops,Black_Violent_Stops,Hispanic_Violent_Stops,White_Property_Prev_Arrests,Black_Property_Prev_Arrests,Hispanic_Property_Prev_Arrests,White_Property_Stops,Black_Property_Stops,Hispanic_Property_Stops
73,76670,2478,70263,3929,1,1,1,0,6,0,1,16,2,0,38,5,1,6,1,0,9,0,1,13,4,1,59,4
75,150051,6586,113496,29969,1,3,1,2,19,1,1,11,4,1,213,39,1,7,1,0,46,16,1,49,5,4,158,42
76,39921,28309,7174,4438,1,1,1,2,6,2,1,1,1,1,7,1,1,3,1,0,3,1,1,4,1,2,19,6
77,79101,19968,56793,2340,1,2,1,0,4,0,1,3,1,0,21,0,1,1,1,0,6,0,1,5,1,0,17,1
78,61508,50245,6080,5183,1,1,1,0,0,0,1,1,1,0,13,3,1,1,1,1,6,3,1,6,1,14,31,10
79,74740,23987,44895,5858,1,51,4,1,41,6,1,27,2,5,304,23,1,2,3,0,29,3,1,23,4,9,141,27
81,65593,8182,53850,3561,1,1,1,0,2,0,1,14,1,0,63,1,1,3,1,0,17,0,1,20,2,1,62,0
83,79867,19535,33828,26504,1,1,1,0,1,0,1,1,3,0,1,1,1,1,1,0,0,2,1,1,1,0,2,2
84,43825,34633,6219,2973,1,8,1,4,11,4,1,3,2,2,39,9,1,4,1,3,36,6,1,21,11,13,124,26
88,48191,20042,25548,2601,1,1,1,0,0,1,1,4,1,1,21,1,1,1,1,0,8,1,1,5,1,4,25,6
