0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.488,0.080,0.318,0.489,0.759,0.702,0.000,1.000,0.499,0.000,1.000,0.821,0.294,0.096,0.523,0.530,0.546,0.444,0.846,0.639,0.565,0.969,0.680,0.591,0.627,0.000,0.564,0.370,0.267,0.726
0.544,0.407,0.477,0.534,0.945,0.800,0.356,0.939,0.618,0.274,0.917,1.000,0.537,0.378,0.933,0.524,0.573,0.603,0.859,1.000,0.647,1.000,0.626,0.672,1.000,0.441,1.000,0.551,0.485,0.906
0.000,0.000,0.000,0.239,0.954,0.000,0.479,0.000,0.371,0.448,0.327,0.369,0.052,0.000,0.810,0.069,0.176,0.375,0.243,0.000,0.000,0.000,0.231,0.238,0.000,0.045,0.839,0.358,0.329,0.543
1.000,1.000,1.000,1.000,0.000,1.000,1.000,0.280,1.000,1.000,0.824,0.828,1.000,1.000,0.000,1.000,1.000,1.000,1.000,0.586,1.000,0.872,1.000,1.000,0.671,0.414,0.000,1.000,1.000,1.000
0.016,0.669,0.482,0.000,1.000,0.203,0.075,0.644,0.000,0.372,0.000,0.000,0.000,0.093,1.000,0.000,0.000,0.000,0.000,0.556,0.075,0.485,0.000,0.000,0.875,1.000,0.900,0.000,0.000,0.000
