Precinct,Ethnic_Comp_Cat,Race,Race_Int,Eth_Pop_In_Precinct,Occurrences
62,0,Q,3,10680,1
63,2,W,1,44447,1
63,2,B,2,58092,1
63,2,Q,3,4535,1
66,0,W,1,124869,1
66,0,B,2,4822,1
66,0,Q,3,9238,3
67,2,W,1,3947,1
67,2,B,2,141102,2
67,2,Q,3,1729,1
68,0,W,1,70217,1
68,0,B,2,2459,1
68,0,Q,3,9287,1
69,2,W,1,4325,1
69,2,B,2,77595,6
69,2,Q,3,1517,1
70,2,W,1,63474,1
70,2,B,2,54315,6
70,2,Q,3,7131,1
71,2,W,1,25312,1
71,2,B,2,69545,5
71,2,Q,3,1880,1
72,0,W,1,32153,1
72,0,B,2,4399,1
72,0,Q,3,20791,1
73,2,W,1,2478,1
73,2,B,2,70263,16
73,2,Q,3,3929,2
75,2,W,1,6586,1
75,2,B,2,113496,11
75,2,Q,3,29969,4
76,1,W,1,28309,1
76,1,B,2,7174,1
76,1,Q,3,4438,1
77,2,W,1,19968,1
77,2,B,2,56793,3
77,2,Q,3,2340,1
78,0,W,1,50245,1
78,0,B,2,6080,1
78,0,Q,3,5183,1
79,2,W,1,23987,1
79,2,B,2,44895,27
79,2,Q,3,5858,2
81,2,W,1,8182,1
81,2,B,2,53850,14
81,2,Q,3,3561,1
83,2,W,1,19535,1
83,2,B,2,33828,1
83,2,Q,3,26504,3
84,1,W,1,34633,1
84,1,B,2,6219,3
84,1,Q,3,2973,2
88,2,W,1,20042,1
88,2,B,2,25548,4
88,2,Q,3,2601,1
90,1,W,1,69288,1
90,1,B,2,12079,6
90,1,Q,3,16499,1
94,0,W,1,45245,3
94,0,B,2,3655,1
94,0,Q,3,5948,1
100,1,W,1,26862,1
100,1,B,2,11233,7
100,1,Q,3,5303,1
101,2,W,1,16297,1
101,2,B,2,35080,12
101,2,Q,3,12097,1
102,1,W,1,27672,1
102,1,B,2,9981,5
102,1,Q,3,32181,14
103,2,W,1,2686,1
103,2,B,2,45602,3
103,2,Q,3,7217,2
104,0,W,1,94554,3
104,0,B,2,3195,4
104,0,Q,3,49986,8
105,2,W,1,23439,1
105,2,B,2,117410,1
105,2,Q,3,9422,1
106,1,W,1,30366,1
106,1,B,2,21690,1
106,1,Q,3,14827,1
107,1,W,1,50515,9
107,1,B,2,20161,6
107,1,Q,3,12692,11
108,0,W,1,35650,1
108,0,B,2,2464,1
108,0,Q,3,30293,1
109,0,W,1,63642,1
109,0,B,2,6213,1
109,0,Q,3,16675,5
110,1,W,1,11229,1
110,1,B,2,12710,1
110,1,Q,3,42797,2
111,0,W,1,50020,1
111,0,B,2,2575,1
111,0,Q,3,7827,1
112,0,W,1,56706,1
112,0,B,2,3672,1
112,0,Q,3,12385,1
113,2,W,1,1448,1
113,2,B,2,110006,1
113,2,Q,3,2595,1
114,1,W,1,89519,4
114,1,B,2,19411,4
114,1,Q,3,28235,4
115,1,W,1,17738,1
115,1,B,2,11363,2
115,1,Q,3,53690,1
120,1,W,1,43985,1
120,1,B,2,27334,21
120,1,Q,3,18713,5
121,1,W,1,61461,3
121,1,B,2,16083,4
121,1,Q,3,19971,1
122,0,W,1,102714,2
122,0,B,2,4746,1
122,0,Q,3,13451,1
123,0,W,1,87356,1
123,0,B,2,1074,1
123,0,Q,3,8441,1
